,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,Day of Month
0,Solar,-28,-29,-31,-34,-35,-36,-38,-38,-38,-38,-39,-38,-38,-40,-41,-41,-41,-41,-41,-41,-41,-42,-42,-43,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-44,-43,-43,-44,-44,-45,-44,-45,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-45,-45,-45,-45,-45,-45,-46,-45,-40,-32,-17,15,99,193,326,566,876,1223,1681,2190,2794,3407,4008,4598,5206,5821,6456,7042,7554,7744,8284,8842,9550,9976,10295,10602,10830,11033,11231,11312,11229,11345,11503,11689,11742,11823,11829,11816,11815,11853,11944,11964,12022,12058,12101,12071,11933,11885,11929,11917,11805,11655,11591,11623,11582,11659,11668,11680,11827,11749,11443,11426,11595,11552,11373,11360,11556,11745,11779,11741,11805,11795,11617,11602,11671,11589,11650,11761,11886,11944,11833,11684,11639,11601,11577,11607,11716,11688,11692,11679,11687,11549,11476,11547,11569,11353,11267,11258,11136,11102,11182,11085,11015,10735,10587,10465,10128,10244,10397,10460,10465,10573,10495,10140,9747,9368,9208,8968,9103,8335,7688,7573,7292,6659,5786,4913,4219,3628,3135,2678,2232,1727,1236,856,598,445,305,198,58,25,13,25,-4,-9,-9,-8,-6,-6,-6,-6,-6,-6,-6,-7,-8,-8,-7,-8,-8,-6,-6,-5,-4,-4,-3,-3,-5,-4,-5,-4,-4,-3,-3,-3,-3,-3,-5,-3,-3,-3,-4,-3,-4,-3,-4,-4,-4,-4,-4,-4,-4,-3,-8,-27,-34,-35,-37,-37,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38.0,"March 1st, 2022"
0,Solar,-38,-37,-37,-38,-33,-37,-37,-37,-37,-38,-38,-38,-38,-38,-38,-39,-39,-38,-38,-38,-38,-39,-39,-39,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-40,-40,-40,-40,-40,-39,-40,-40,-39,-40,-40,-40,-40,-40,-40,-40,-39,-40,-39,-40,-40,-40,-40,-41,-41,-41,-41,-41,-41,-42,-41,-41,-41,-41,-41,-41,-41,-39,-31,-16,31,98,188,369,584,834,1159,1552,1991,2489,2968,3469,4095,4708,5143,5546,6000,6320,6502,6779,7168,7988,8570,8996,9445,9848,10049,10132,10479,10549,10607,10819,10701,11061,11264,11275,11348,11339,11431,11362,11244,11354,11371,11463,11660,11811,11788,11780,11816,11807,11897,11968,11888,11785,11817,11710,11608,11543,11512,11524,11620,11724,11684,11565,11602,11622,11614,11510,11562,11575,11628,11526,11531,11540,11526,11644,11709,11726,11674,11382,11301,11315,11170,11117,11071,11160,11348,11301,11414,11392,11331,11436,11606,11419,11129,10961,10812,10678,10774,10877,10919,10693,10494,10342,10359,10250,10074,9983,10166,9920,9867,9602,9222,8950,8551,8019,7738,7486,7189,6753,6498,5969,5544,5065,3845,3260,2850,2446,1953,1658,1360,1016,718,497,357,197,105,47,24,16,40,37,40,40,40,40,80,89,90,90,90,90,90,89,90,89,89,89,89,90,90,91,91,91,90,89,89,87,72,49,25,16,14,13,11,9,10,10,10,9,9,9,9,8,7,7,7,7,7,7,6,6,7,7,7,7,5,6,6,6,5,3,1,-2,-3,-4,-4,-3,-4,-3.0,"March 2nd, 2022"
0,Solar,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-4,-3,-3,-3,-3,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-5,-5,2,10,35,107,254,432,636,834,1074,1451,1890,2369,2894,3434,3809,3957,4091,4646,5359,5530,5519,5915,6638,7409,7934,8371,8654,8837,9032,9044,9228,9500,9365,8871,8776,9003,9406,9403,9143,9043,8908,8866,8651,9198,10203,10345,10152,9825,9658,9850,9976,9888,9821,9732,9671,9793,9420,9340,9143,9049,8931,8980,9278,9273,8902,8790,8967,9033,8731,8907,9235,9368,9332,9665,9673,9545,9456,9486,9591,9663,9728,10044,10428,9743,8982,8729,8781,8626,8593,8644,8393,8091,8007,8076,8293,8541,8825,8594,8553,8879,8499,8539,8644,8856,8875,8307,8559,8831,8387,8064,7640,7760,7830,7675,7571,7551,7159,6671,6439,6010,6001,5774,5399,4958,4507,4051,2989,2486,2093,1713,1282,1010,786,587,449,331,228,170,130,104,74,47,101,125,127,128,128,130,173,176,176,176,176,171,134,127,128,127,128,129,129,129,130,130,128,122,87,83,83,82,82,82,82,82,82,81,82,82,82,83,83,83,82,82,82,82,82,82,82,81,78,72,66,62,53,44,40,39,39,39,39,39,39,39,39,40,40,40,40,39,39,38.0,"March 3rd, 2022"
0,Solar,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,41,41,40,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40,39,38,38,38,38,37,37,36,39,38,38,38,38,38,38,38,38,38,37,35,35,34,35,35,36,38,38,37,37,37,37,37,35,36,37,38,43,56,73,109,156,235,318,345,484,648,825,1027,1207,1399,1626,1808,2068,2286,2486,2752,2671,2542,2646,2710,3000,3247,3494,3598,3969,4239,4154,3981,4274,4713,4582,4189,4170,4339,4390,4150,4036,4086,4169,4314,4579,4842,5037,4835,4855,4785,4617,4536,4413,4577,4774,4789,4908,5199,5430,5417,5428,6001,6590,6656,6581,6559,6047,5969,5915,6171,6323,6465,6772,6832,6885,7013,6964,6818,6936,6820,6756,6860,6830,6780,6522,6494,6267,6350,6422,6441,6161,6088,6611,7107,7102,6706,6453,6707,7096,7159,6704,6405,6755,6700,6804,6824,6934,6563,6536,6622,7037,6964,7312,7674,7610,7865,7683,7332,6603,6078,5735,5381,5299,5089,5062,4897,4541,3833,3474,2892,2359,1985,1693,1357,1095,876,645,474,360,258,145,36,5,25,42,46,46,47,47,90,97,97,97,98,97,97,95,96,96,95,94,94,94,95,96,97,94,84,82,83,81,52,39,36,36,35,36,36,24,-16,-39,-39,-39,-40,-40,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-38,-39,-43,-43,-43,-43,-43,-43,-43,-43,-41,-41,-41,-41,-41.0,"March 4th, 2022"
0,Solar,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,-42,-42,-42,-41,-41,-41,-41,-42,-41,-41,-42,-42,-42,-42,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-43.0,-44.0,-44.0,-44,-45,-45,-45,-45,-45,-45,-45,-45,-46,-46,-45,-46,-45,-45,-45,-45,-45,-45,-32,-39,-42,-44,-45,-46,-46,-45,-46,-46,-46,-44,-43,-43,-43,-43,-42,-41,-34,-24,8,62,150,269,471,674,948,1272,1616,2053,2578,3154,3751,4340,4866,5417,6014,6486,6258,6129,6258,6876,7520,7997,8798,9438,9630,9716,10052,9818,8239,7692,7616,7930,8485,8755,8706,8383,8281,7796,7617,7499,7425,7411,7347,7204,7072,7310,7562,7696,7747,7597,8292,8363,8742,7434,6803,6733,7188,7523,7645,7287,7341,7267,7388,7254,7282,7062,6984,7233,7232,7286,7197,6953,7031,6838,6941,6867,6771,6681,6669,6562,6721,6922,6826,6422,6382,6680,6704,6634,6581,6814,7134,6991,6957,6764,6891,6938,7087,7137,7203,7210,7386,7391,7185,7168,6974,6803,7085,7178,7172,7565,7609,7667,7297,6901,6841,6885,6605,6255,5979,5688,5389,4920,4475,3561,3106,2746,2291,1925,1587,1280,983,724,489,312,201,131,72,16,-37,-47,-49,-46,-46,-45,-44,-3,5,5,5,5,18,64,93,93,93,94,96,96,96,96,96,97,97,97,97,97,121,129,129,129,129,129,129,129,128,117,114,114,113,114,113,91,72,71,67,71,61,20,-6,-7,-8,-7,-8,-8,-7,-7,-8,-10,-20,-32,-39,-43,-44,-44,-44,-44,-44,-44,-45.0,"March 5th, 2022"
0,Solar,-44,-44,-44,-44,-44,-44,-44,-44,-45,-45,-44,-44,-46,-46,-46,-45,-45,-46,-45,-45,-45,-45,-45,-45,-45.0,-45.0,-46.0,-45.0,-45.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-47.0,-46,-48,-47,-46,-46,-46,-46,-46,-46,-46,-46,-44,-43,-43,-45,-46,-46,-47,-47,-47,-47,-46,-46,-46,-45,-33,-32,-32,-33,-33,-33,-33,-33,-33,-33,-34,-31,-24,-3,47,143,272,433,696,1009,1398,1906,2418,2963,3537,4156,4759,5363,5828,6235,6564,6524,6550,6674,6914,7339,8295,8899,9213,9564,9559,9451,9328,9469,9629,9587,9466,9634,9867,9912,9759,9652,9551,9553,9358,9370,9358,9323,9421,9537,9639,9699,9672,9626,9630,9574,9466,9233,9180,9130,9105,9199,9338,9335,9278,9116,9041,9033,8979,8943,9020,9034,8979,9063,9308,9327,9239,9104,9037,8893,8678,8733,8802,8755,8787,8935,8889,8902,8760,8585,8615,8659,8458,8299,8326,8281,8361,8396,8579,8489,8535,8429,8238,8026,8211,8202,8243,8157,7824,7585,7316,7528,7570,7726,7970,8180,8192,8093,8318,8253,7947,7688,7414,7194,6921,6567,6323,6500,6903,6007,5360,4749,4096,3535,2791,2227,1735,1297,937,654,468,323,211,113,80,39,9,-15,-29,-28,-27,47,55,55,55,55,55,42,39,39,39,39,39,39,41,42,42,44,44,44,44,44,44,44,43,40,40,40,40,39,34,15,-5,-10,-10,-10,-10,-10,-11,-11,-10,-10,-9,-8,-7,-6,-6,-6,-6,-6,-7,-6,-6,-6,-6,-8,-17,-27,-36,-38,-40,-40,-40,-40,-40.0,"March 6th, 2022"
0,Solar,-40,-40,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-40,-40,-41,-41,-41,-41,-41,-40,-40,-40,-40,-40,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-43,-44,-43,-43,-43,-43,-43,-43,-43,-42,-42,-42,-42,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-42,-21,19,62,122,220,364,548,845,1186,1611,2090,2647,3197,3734,4341,4977,5614,6238,6836,7439,8008,8546,8865,8638,9097,10123,10741,11026,11353,11656,11948,12071,12199,12300,12359,12490,12613,12621,12528,12485,12389,12454,12493,12602,12691,12642,12493,12424,12262,12023,12087,12035,11833,11567,11234,11036,10937,10844,10662,10647,10626,10733,10826,10919,10969,10723,10518,10694,10543,10476,10586,10630,10846,11004,10837,10741,10649,10332,10409,10587,10761,10762,10563,10556,10561,10587,10549,10574,10567,10544,10514,10400,10373,10337,10111,9981,10141,10383,10370,10237,10236,10155,10101,10093,9790,9813,9667,9684,9676,9734,9523,9597,9323,9236,9218,9313,9535,9518,9203,8880,8536,7842,7311,7050,7059,7496,7957,7667,6560,5931,5180,4437,3702,3011,2463,1930,1473,1114,817,596,434,310,222,181,119,116,119,121,122,66,40,45,45,46,46,42,14,11,11,11,10,10,10,8,6,7,7,8,8,7,7,7,7,7,7,7,7,6,5,4,8,6,6,3,-2,-6,-7,-11,-15,-18,-22,-32,-35,-37,-36,-37,-37,-37,-39,-39,-39,-39,-40,-40,-40,-41,-40,-40,-40,-40,-40,-40,-40,-40.0,"March 7th, 2022"
0,Solar,-40,-41,-43,-44,-43,-41,-41,-41,-40,-40,-40,-40,-40,-40,-40,-40,-39,-40,-40,-39,-39,-40,-42,-42,-42.0,-42.0,-42.0,-41.0,-39.0,-39.0,-39.0,-39.0,-42.0,-41.0,-39.0,-40.0,-39,-41,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-43,-43,-43,-43,-43,-43,-43,-44,-44,-43,-43,-43,-44,-44,-43,-42,-25,21,59,135,257,417,638,947,1313,1774,2294,2856,3469,4049,4688,5320,5951,6557,7157,7761,8351,8880,9310,9664,10086,10766,11158,11407,11634,11838,12171,12380,12385,11883,11289,11074,11222,11849,12477,12684,12456,12605,12548,12823,13086,13060,12664,12860,13139,13080,13004,13019,12945,12947,12935,12824,12763,12745,12736,12793,12799,12635,12600,12602,12553,12517,12451,12311,12299,12262,12172,12232,12290,12393,12525,12608,12530,12564,12489,12416,12394,12271,12254,12284,12281,12395,12452,12355,12176,12126,12026,11895,11974,12041,12187,12091,11807,11600,11620,11679,11774,11610,11799,11522,11521,11565,11451,11279,11101,11224,11164,10685,10334,10177,9832,9736,9486,9448,9642,9435,9174,8854,8552,8287,8625,8722,8389,7829,6569,5929,5252,4569,3890,3230,2617,2041,1607,1113,707,483,320,191,80,55,41,19,-12,-13,-13,-10,29,39,39,40,40,38,16,10,10,9,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,10,8,7,7,6,6,6,12,7,7,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,4,1,-7,-19,-30,-38,-42,-41,-39,-39,-39.0,"March 8th, 2022"
0,Solar,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-42,-43,-43,-43,-43,-39,-39,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-40,-41,-40,-40,-40,-40,-40,-40,-41,-41,-40,-40,-40,-40,-41,-41,-40,-40,-41,-40,-41,-41,-41,-41,-40,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-35,-24,-10,24,88,220,385,611,934,1329,1788,2267,2848,3459,4092,4747,5353,5942,6514,7131,7642,8104,8498,8384,8623,9116,9875,10495,10763,10852,11032,11155,11453,11660,11473,11184,11271,11320,11379,11467,11666,11777,11650,11348,11667,11729,11565,11156,11050,11016,10974,10720,10635,10614,10586,10521,10250,10051,9945,9851,9793,9848,10209,10192,10036,10075,10214,10239,10487,10396,10090,9622,9620,9728,9926,10058,10041,10138,10094,9820,9637,9520,9425,9322,9334,9379,9722,10075,10185,10086,10031,10127,10275,10386,10451,10451,10513,10539,10531,10528,10504,10459,10601,10557,10522,10633,10624,10751,10765,10780,10633,10511,10595,10850,10933,10990,10974,10842,10836,10688,10298,9667,9046,8543,8333,8672,8607,8256,7675,6436,5774,5133,4500,3840,3196,2616,2076,1591,1211,864,474,312,199,134,91,79,53,30,30,32,32,76,84,84,84,81,75,60,47,44,42,43,42,42,42,42,42,43,43,25,18,20,41,21,18,19,17,18,18,18,16,28,46,51,53,53,53,53,51,48,45,45,42,15,9,9,9,9,9,9,9,9,7,3,1,-6,-17,-29,-38,-39,-40,-39,-39,-40,-40.0,"March 9th, 2022"
